id,title_no,status,type,land_district,issue_date,guarantee_status,estate_description,number_owners,spatial_extents_shared
1760560,WNE2/337,LIVE,Freehold,Wellington,1966-03-04T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 2119, 11,670,122 m2",1,False
3699844,NA102C/555,LIVE,Freehold,North Auckland,1996-02-15T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 168648, 15 m2",1,False
3883758,NA129B/804,LIVE,Freehold,North Auckland,2000-09-13T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 201872, 7 m2",1,False
3982898,NA76A/932,LIVE,Freehold,North Auckland,1990-01-24T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 129982, 665 m2",2,False
4422260,342262,LIVE,Freehold,North Auckland,2007-09-10T09:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 8 Deposited Plan 385464, 426 m2",1,False
4420619,340595,LIVE,Freehold,North Auckland,2008-10-28T15:31:31Z,Guarantee,"Fee Simple, 1/1, Lot 17 Deposited Plan 385000, 674 m2",1,False
4595004,520732,LIVE,Freehold,North Auckland,2010-04-26T09:00:00Z,Guarantee,"Fee Simple, 1/1, Oruawharo D1B1 Block, 1,012 m2",1,False
223084,OT10A/916,LIVE,Freehold,Otago,1984-12-21T00:00:00Z,Guarantee,"Fee Simple, 1/1, Section 3 Block XXII Blackstone Survey District, 1,945,526 m2",1,False
491931,CB448/167,LIVE,Freehold,Canterbury,1936-09-24T00:00:00Z,Guarantee,"Fee Simple, 1/1, Part Lot 37 Deposited Plan 1, 8 m2",1,False
672321,CB36A/195,LIVE,Freehold,Canterbury,1992-05-29T00:00:00Z,Guarantee,"Fee Simple, 1/1, Rural Section 37502, 10,368,046 m2",3,False
1142315,WS8C/823,LIVE,Freehold,Westland,1999-09-06T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 17 Deposited Plan 3789, 46 m2",2,False
4176141,94120,LIVE,Gazette Notice,Westland,2003-05-30T09:00:00Z,Guarantee,"Fee Simple, 1/1, Section 1 Survey Office Plan 318208, 395,570,000 m2",1,False
4540216,463027,LIVE,Freehold,Canterbury,2009-01-22T09:00:00Z,Guarantee,"Fee Simple, 1/1, Section 3-10, 12-16, 18, 21 Survey Office Plan 407150, 11,979,709 m2",1,True
1645798,GS5A/1350,LIVE,Freehold,Gisborne,1989-01-31T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 7666, 48,160 m2",2,False
1763667,GS116/16,LIVE,Freehold,Gisborne,1958-06-09T00:00:00Z,Guarantee,"Fee Simple, 1/1, Part Arakihi 1 Block, 2,842,385 m2",3,False
2191699,SA10A/92,LIVE,Freehold,South Auckland,1968-12-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Part Lot 6 Deposited Plan 21509",3,False
2280265,SA59B/525,LIVE,Freehold,South Auckland,1996-10-02T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 6 Deposited Plan South Auckland 73638, 5 m2",1,False
2421463,SA53C/888,LIVE,Freehold,South Auckland,1994-05-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 15 Deposited Plan South Auckland 66938, 3,060 m2",2,False
2679911,SA23B/1327,LIVE,Freehold,South Auckland,1978-04-19T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 27047, 15 m2",1,False
2767899,SA25B/488,LIVE,Freehold,South Auckland,1979-09-03T00:00:00Z,Guarantee,"Fee Simple, 1/1, Mangaawakino A1 Block, 12,013,093 m2",1,False
4410928,330790,LIVE,Freehold,Taranaki,2007-04-24T09:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 5 Deposited Plan 382802, 21,663 m2",2,False
4492453,413260,LIVE,Freehold,Gisborne,2008-03-12T09:00:00Z,Guarantee,"Fee Simple, 1/1, Mangaroa Block, 27,448,208 m2",1,False
4562554,486730,LIVE,Records Embodied in the Register,South Auckland,2009-07-31T09:00:00Z,Guarantee,"Deed of easement under s8A Crown Forests Assets Act 1989, 1/1, Lot 7 Deposited Plan South Auckland 65625 and Lot 2 Deposited Plan South Auckland 47428, 412,000 m2",1,True
4415194,335104,LIVE,Freehold,South Auckland,2012-02-27T10:03:39Z,Guarantee,"Fee Simple, 1/1, Lot 7 Deposited Plan 375880, 5 m2",1,False
3506797,NA111D/126,LIVE,Freehold,North Auckland,1997-07-18T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 20 Deposited Plan 180565, 518 m2",1,False
2495097,TNC2/864,LIVE,Freehold,Taranaki,1972-03-17T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 8121, 809 m2",2,False
490442,CB11B/65,LIVE,Freehold,Canterbury,1971-11-26T00:00:00Z,Guarantee,"Fee Simple, 1/1, Rural Section 34735, 89,031 m2",1,False
3006936,NA1A/1494,LIVE,Freehold,North Auckland,1963-02-22T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 50837, 3,920 m2",1,False
3036182,NA4A/607,LIVE,Freehold,North Auckland,1964-08-17T00:00:00Z,Limited as to Parcels,"Fee Simple, 1/1, Part Island of Moturekareka, 157,827 m2",1,False
435298,OT9A/1409,LIVE,Freehold,Otago,1983-01-21T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 191 Deposited Plan 10062, 713 m2",1,False
3435717,NA110C/67,LIVE,Freehold,North Auckland,1997-10-08T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 179146, 3,005 m2",1,False
3094092,NA513/68,LIVE,Freehold,North Auckland,1928-09-17T00:00:00Z,Limited as to Parcels,"Fee Simple, 1/1, Lot 101 Deeds Plan 976, 1,806 m2",1,False
3191344,NA796/295,LIVE,Freehold,North Auckland,1942-12-21T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 31074, 53,621 m2",1,False
3172132,NA45C/1096,LIVE,Freehold,North Auckland,1979-11-12T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 88178, 13,883 m2",1,False
3209404,NA758/234,LIVE,Freehold,North Auckland,1939-10-25T00:00:00Z,Limited as to Parcels,"Fee Simple, 1/1, Part Old Land Claim 68, 1,193,823 m2",1,False
3241265,NA50B/687,LIVE,Freehold,North Auckland,1982-05-13T00:00:00Z,Guarantee,"Fee Simple, 1/1, Section 7 Block XVI Hukatere Survey District, 449,959 m2",1,False
3104326,NA1171/44,LIVE,Freehold,North Auckland,1955-11-28T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 42546, 137 m2",1,False
3286119,NA120B/754,LIVE,Freehold,North Auckland,1999-06-18T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 190480, 212,050 m2",3,False
3303461,NA679/158,LIVE,Freehold,North Auckland,1936-08-25T00:00:00Z,Guarantee,"Fee Simple, 1/1, Part Tuataranui Block, 44,288 m2",1,False
3105773,NA140/108,LIVE,Freehold,North Auckland,1907-02-27T00:00:00Z,Guarantee,"Fee Simple, 1/1, Allotment 14B Parish of Wharehine, 76 m2",1,False
3106982,NA23C/1231,LIVE,Freehold,North Auckland,1973-05-24T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 68295, 809 m2",3,False
3107027,NA23C/241,LIVE,Freehold,North Auckland,1972-12-08T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 68008, 1,012 m2",2,False
3399890,NA31A/1045,LIVE,Freehold,North Auckland,1974-11-18T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 19 Deposited Plan 70951, 39,456 m2",1,False
3107282,NA22D/488,LIVE,Freehold,North Auckland,1972-05-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 312 Deposited Plan 67139, 607 m2",2,False
3110008,NA22D/490,LIVE,Freehold,North Auckland,1972-05-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 314 Deposited Plan 67139, 607 m2",1,False
3528569,NA103B/785,LIVE,Freehold,North Auckland,1996-08-12T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 9 Deposited Plan 169561, 25,327 m2",1,False
3519096,NA103D/240,LIVE,Freehold,North Auckland,1996-05-03T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 170138, 1,550 m2",1,False
3110622,NA122D/709,LIVE,Freehold,North Auckland,1999-01-28T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 193632, 230 m2",2,False
3111278,NA52B/162,LIVE,Freehold,North Auckland,1982-05-11T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 14 Deposited Plan 397, 526 m2",3,False
3208607,NA50B/25,LIVE,Freehold,North Auckland,1981-02-10T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 120 Section 1 Deposited Plan 171, 422 m2",1,False
3210647,NA405/80,LIVE,Freehold,North Auckland,1924-12-23T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 208 Deposited Plan 17366, 435 m2",2,False
3831526,NA122D/770,LIVE,Freehold,North Auckland,2000-06-15T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 5 Deposited Plan 193647, 342,800 m2",1,False
4017139,NA60D/602,LIVE,Freehold,North Auckland,1986-02-12T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 57 Deposited Plan 101787, 12,000 m2",1,False
3866264,NA129B/304,LIVE,Freehold,North Auckland,2000-05-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 200912, 139,770 m2",1,False
3968107,NA78A/993,LIVE,Freehold,North Auckland,1991-01-18T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 89 Deposited Plan 132770, 613 m2",2,False
3210944,NA33A/1280,LIVE,Freehold,North Auckland,1977-03-21T00:00:00Z,Guarantee,"Fee Simple, 1/1, Allotment 353 Parish of Ruakaka, 930 m2",1,False
3211534,NA813/215,LIVE,Freehold,North Auckland,1944-03-17T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 52 Deposited Plan 19224, 868 m2",1,False
3212841,NA33A/725,LIVE,Freehold,North Auckland,1976-07-15T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 15 Deposited Plan 47818, 1,016 m2",2,False
3213640,NA5B/1427,LIVE,Freehold,North Auckland,1965-03-12T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 26 Deposited Plan 54161, 837 m2",2,False
3213803,NA1D/140,LIVE,Freehold,North Auckland,1963-06-28T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 49 Deposited Plan 42525, 923 m2",1,False
3213911,NA1012/283,LIVE,Freehold,North Auckland,1951-10-15T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 62 Deposited Plan 18327, 705 m2",2,False
4404273,324106,LIVE,Freehold,North Auckland,2007-02-08T09:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 37 Deposited Plan 380972, 734 m2",2,False
3215422,NA1578/70,LIVE,Freehold,North Auckland,1958-07-14T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 45871, 1,166 m2",2,False
4507421,428398,LIVE,Freehold,North Auckland,2008-10-31T09:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 408013, 166,850 m2",1,False
4579129,504006,LIVE,Records Embodied in the Register,North Auckland,2009-11-09T09:00:00Z,Guarantee,"Amalgamation Order under Section 435 Maori Affairs Act 1953, 1/1, Pipiwai X1 Block, 4,489,203 m2",7,False
6645,OT19C/182,LIVE,Freehold,Otago,2000-03-07T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 27580, 26,100 m2",1,False
3331161,NA19D/452,LIVE,Freehold,North Auckland,1970-11-12T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan 21091, 1,012 m2",1,False
82841,OT11A/1314,LIVE,Freehold,Otago,1986-12-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Section 162 Town of Papatowai, 820,000 m2",1,False
3221318,NA53A/985,LIVE,Freehold,North Auckland,1982-10-15T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 51 Deposited Plan 97398, 637 m2",2,False
1523737,WN44C/148,LIVE,Freehold,Wellington,1994-07-01T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 78019, 155 m2",2,False
3223427,NA26C/646,LIVE,Freehold,North Auckland,1973-12-06T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 6 Deposited Plan 64516, 5 m2",1,False
222500,OT101/61,LIVE,Freehold,Otago,1894-12-28T00:00:00Z,Guarantee,"Fee Simple, 1/1, Part Section 4 Block X Maerewhenua Survey District, 476,214 m2",1,False
3224704,NA27B/1475,LIVE,Freehold,North Auckland,1974-01-31T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 9 Deposited Plan 70929, 606 m2",2,False
3513396,NA952/91,LIVE,Freehold,North Auckland,1950-02-02T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 8 Deposited Plan 36391, 809 m2",1,False
3687410,NA26A/558,LIVE,Freehold,North Auckland,1973-02-22T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 28 Deposited Plan 65250, 849 m2",1,False
3699193,NA27A/1280,LIVE,Freehold,North Auckland,1974-04-04T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 422 Deposited Plan 70515, 607 m2",1,False
3833978,NA124D/515,LIVE,Freehold,North Auckland,1999-08-05T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 45 Deposited Plan 195793, 480 m2",2,False
1278627,MB3E/958,LIVE,Freehold,Marlborough,1983-10-26T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 6 Deposited Plan 2866, 31,667 m2",1,False
3835905,NA124D/761,LIVE,Freehold,North Auckland,1999-09-20T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan 195839, 590 m2",1,False
3836502,NA124A/689,LIVE,Freehold,North Auckland,1999-06-09T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 41 Deposited Plan 194998, 477 m2",1,False
3837665,NA123D/622,LIVE,Freehold,North Auckland,1999-08-04T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 24 Deposited Plan 194588, 160 m2",2,False
3838487,NA130C/607,LIVE,Freehold,North Auckland,2000-09-25T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 38 Deposited Plan 202139, 117 m2",1,False
3332745,NA16B/937,LIVE,Freehold,North Auckland,1969-02-28T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 11 Deposited Plan 53714, 607 m2",2,False
3333346,NA2A/478,LIVE,Freehold,North Auckland,1963-08-13T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 28 Deposited Plan 50592, 675 m2",2,False
3333879,NA12B/643,LIVE,Freehold,North Auckland,1967-08-11T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 60 Deposited Plan 348, 728 m2",2,False
3334034,NA15B/789,LIVE,Freehold,North Auckland,1968-08-26T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan 59959, 40,494 m2",3,False
3355231,NA93C/896,LIVE,Freehold,North Auckland,1994-11-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 120 Deposited Plan 14355, 809 m2",1,False
501873,CB11K/535,LIVE,Freehold,Canterbury,1972-06-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Rural Section 36698, 125,453 m2",1,False
3356336,NA7A/1494,LIVE,Freehold,North Auckland,1965-10-19T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 83 Deposited Plan 47841, 1,219 m2",2,False
3357000,NA19D/1459,LIVE,Freehold,North Auckland,1970-12-21T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 55 Deposited Plan 348, 640 m2",2,False
910151,NL12A/930,LIVE,Freehold,Nelson,1997-04-04T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 18060, 565,824 m2",2,False
961115,NL13A/157,LIVE,Freehold,Nelson,1999-02-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 22 Deposited Plan 19372, 45,900 m2",1,False
3357303,NA32A/1475,LIVE,Freehold,North Auckland,1975-10-06T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 66 Deposited Plan 75637, 622 m2",1,False
2133871,SA67A/20,LIVE,Freehold,South Auckland,1999-06-09T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 7 Deposited Plan South Auckland 84396, 18,400 m2",1,False
2193018,SA61B/572,LIVE,Freehold,South Auckland,1999-03-31T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan South Auckland 77205, 88,000 m2",1,False
572634,CB498/285,LIVE,Freehold,Canterbury,1946-12-18T00:00:00Z,Guarantee,"Fee Simple, 1/1, Part Lot 1 Deposited Plan 13051, 8,051,018 m2",1,False
3362640,NA21A/1450,LIVE,Freehold,North Auckland,1971-08-03T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 107 Deposited Plan 65209, 607 m2",1,False
3363785,NA25C/772,LIVE,Freehold,North Auckland,1973-09-14T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 15 Deposited Plan 69680, 675 m2",1,False
3378246,NA867/43,LIVE,Freehold,North Auckland,1947-01-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 715 Deposited Plan 32354, 1,083 m2",2,False
3378967,NA1034/264,LIVE,Freehold,North Auckland,1952-05-16T00:00:00Z,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 38051, 1,012 m2",1,False
